---- Opened the serial port /dev/ttyUSB0 ----
FSR Live: 0.68, 0.50, 0.16, 0.30, 0.15, 0.17, 0.14, 0.12, 0.17, 0.24
FSR Live: 0.37, 0.34, 0.16, 0.24, 0.22, 0.15, 0.10, 0.20, 0.17, 0.26
FSR Live: 0.36, 0.37, 0.15, 0.20, 0.14, 0.09, 0.17, 0.16, 0.05, 0.24
FSR Live: 0.41, 0.39, 0.30, 0.29, 0.15, 0.19, 0.10, 0.17, 0.14, 0.19
FSR Live: 3.29, 3.61, 3.35, 4.04, 2.75, 2.89, 3.34, 4.24, 4.76, 4.26
FSR Live: 0.31, 0.27, 0.16, 0.22, 0.15, 0.20, 0.09, 0.19, 0.08, 0.19
FSR Live: 0.37, 0.39, 0.25, 0.29, 0.20, 0.16, 0.17, 0.20, 0.09, 0.24
FSR Live: 0.32, 0.25, 0.27, 0.25, 0.26, 0.12, 0.12, 0.17, 0.10, 0.16
FSR Live: 0.39, 0.26, 0.12, 0.22, 0.16, 0.24, 0.08, 0.24, 0.21, 0.26
FSR Live: 0.35, 0.26, 0.12, 0.27, 0.14, 0.21, 0.20, 0.06, 0.12, 0.19
FSR Live: 0.34, 0.34, 0.26, 0.31, 0.17, 0.15, 0.24, 0.19, 0.15, 0.24
FSR Live: 0.45, 0.50, 0.45, 0.40, 0.39, 0.32, 0.32, 243.11, 0.41, 0.35
FSR Live: 1.01, 0.90, 0.91, 0.91, 0.75, 0.83, 0.75, 440.76, 465.73, 0.96
FSR Live: 1.50, 1.60, 1.69, 1.54, 1.45, 1.48, 1.42, 721.13, 700.03, 1.88
FSR Live: 1.94, 1.92, 1.88, 1.84, 1.89, 1.81, 1.79, 724.08, 755.11, 2.19
FSR Live: 2.13, 1.98, 1.98, 1.94, 1.96, 1.89, 1.89, 750.70, 809.36, 2.33
FSR Live: 1.98, 2.14, 2.08, 2.08, 1.96, 1.90, 1.89, 771.20, 800.56, 2.49
FSR Live: 2.23, 1.98, 2.00, 2.03, 2.05, 2.08, 1.81, 768.54, 824.14, 2.39
FSR Live: 2.05, 2.00, 2.01, 2.16, 1.99, 2.18, 1.86, 759.91, 832.49, 2.36
FSR Live: 2.10, 2.05, 2.10, 1.98, 2.00, 1.94, 1.94, 758.83, 829.35, 2.46
FSR Live: 2.09, 2.04, 2.00, 2.05, 1.94, 1.92, 2.00, 769.69, 827.81, 2.33
FSR Live: 2.04, 1.99, 2.03, 2.08, 2.06, 2.04, 2.09, 780.75, 829.14, 2.49
=====================================
STABLE ��� DATA SAVED
FSR Snapshot: 2.11, 2.14, 2.06, 1.91, 2.01, 2.10, 1.91, 785.97, 827.55, 2.33
=====================================
FSR Live: 2.11, 2.14, 2.06, 1.91, 2.01, 2.10, 1.91, 785.97, 827.55, 2.33
FSR Live: 2.16, 2.06, 2.14, 1.98, 2.00, 2.04, 1.95, 781.99, 831.22, 2.30
FSR Live: 2.03, 2.06, 2.09, 2.10, 2.10, 2.08, 2.01, 783.00, 832.85, 2.45
FSR Live: 2.05, 1.99, 1.99, 2.10, 2.00, 2.01, 2.00, 775.75, 826.05, 2.31
FSR Live: 2.01, 2.06, 2.06, 2.08, 2.00, 2.10, 1.96, 780.08, 829.71, 2.40
FSR Live: 2.09, 2.01, 2.08, 2.10, 2.11, 2.03, 1.94, 770.17, 829.41, 2.30
FSR Live: 2.13, 2.06, 2.00, 2.06, 2.09, 1.94, 2.01, 764.81, 846.17, 2.25
FSR Live: 2.10, 2.09, 2.14, 2.11, 2.05, 1.92, 2.01, 779.76, 849.11, 2.44
FSR Live: 2.10, 2.14, 2.01, 1.96, 1.86, 1.88, 1.90, 773.74, 851.29, 2.41
FSR Live: 2.10, 2.13, 2.14, 2.05, 1.95, 1.84, 1.95, 776.81, 853.70, 2.48
FSR Live: 1.79, 1.84, 1.88, 1.85, 1.76, 1.74, 1.73, 645.83, 799.49, 2.24
FSR Live: 0.39, 0.31, 0.22, 0.25, 0.21, 0.16, 0.05, 0.17, 0.10, 0.26
FSR Live: 0.26, 0.39, 0.22, 0.27, 0.27, 0.14, 0.10, 0.17, 0.15, 0.17
FSR Live: 0.31, 0.34, 0.25, 0.22, 0.19, 0.19, 0.11, 0.17, 0.06, 0.19
FSR Live: 0.26, 0.36, 0.27, 0.25, 0.14, 0.14, 0.17, 0.15, 0.16, 0.30
FSR Live: 0.24, 0.21, 0.16, 0.20, 0.15, 0.10, 0.11, 0.14, 0.12, 19.99
FSR Live: 0.40, 0.40, 0.36, 0.37, 0.37, 0.31, 0.22, 0.24, 0.22, 113.68
FSR Live: 0.34, 0.24, 0.17, 0.21, 0.30, 0.17, 0.15, 0.20, 0.10, 4.76
